ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665813688951,"10/15/2022, 11:15:56",10/15/2022,7653,-32768,-1232,296,-852,5916,11:15:56,CHL038,1
1665813690961,"10/15/2022, 11:15:56",10/15/2022,-32768,-32768,-1264,6372,11300,-5008,11:15:56,CHL038,1
1665813693013,"10/15/2022, 11:15:56",10/15/2022,-4905,-9215,-1232,-6624,11072,-16600,11:15:56,CHL038,1
1665813695162,"10/15/2022, 11:15:56",10/15/2022,-5761,-4359,-1216,-17148,9128,-22660,11:15:56,CHL038,1
1665813697309,"10/15/2022, 11:15:56",10/15/2022,24881,32767,-1200,-6444,-3124,-4676,11:15:56,CHL038,1
1665813699391,"10/15/2022, 11:15:56",10/15/2022,32767,32767,-1216,-7124,-2656,-5764,11:15:56,CHL038,1
1665813701401,"10/15/2022, 11:15:56",10/15/2022,180,203,-1280,-2584,8848,12256,11:15:56,CHL038,1
1665813703530,"10/15/2022, 11:15:56",10/15/2022,-485,-260,-1232,-4648,8952,12272,11:15:56,CHL038,1
1665813705582,"10/15/2022, 11:15:56",10/15/2022,-477,-169,-1232,-4216,8880,11848,11:15:56,CHL038,1
1665813309312,"10/15/2022, 11:15:56",10/15/2022,-340,-247,-1552,-14316,2572,6428,11:15:56,CHL033,0
1665813311361,"10/15/2022, 11:15:56",10/15/2022,-762,-188,-1568,-14164,2120,6476,11:15:56,CHL033,0
1665813313431,"10/15/2022, 11:15:56",10/15/2022,-811,-210,-1536,-14416,2316,6456,11:15:56,CHL033,0
1665813315461,"10/15/2022, 11:15:56",10/15/2022,-511,-294,-1536,-14236,2196,6468,11:15:56,CHL033,0
1665813317512,"10/15/2022, 11:15:56",10/15/2022,-537,-271,-1520,-14244,2176,6340,11:15:56,CHL033,0
1665813319672,"10/15/2022, 11:15:56",10/15/2022,-1945,-14957,-1536,-12752,6836,3980,11:15:56,CHL033,0
